Título,Resumo,Ano,Link,Fonte,Citações,DOI,Categoria_Ancora,Ancoras_Mencionadas,Categoria_Tecnica,Termos_Tecnicos,Score_Elite
NEMO-4-PAYPAL: Leveraging NVIDIA's Nemo Framework for empowering PayPal's Commerce Agent,"We present the development and optimization of PayPal's Commerce Agent, powered by NEMO-4-PAYPAL, a multi-agent system designed to revolutionize agentic commerce on the PayPal platform. Through our strategic partnership with NVIDIA, we leveraged the NeMo Framework for LLM model fine-tuning to enhance agent performance. Specifically, we optimized the Search and Discovery agent by replacing our base model with a fine-tuned Nemotron small language model (SLM).
  We conducted comprehensive experiments using the llama3.1-nemotron-nano-8B-v1 architecture, training LoRA-based models through systematic hyperparameter sweeps across learning rates, optimizers (Adam, AdamW), cosine annealing schedules, and LoRA ranks. Our contributions include: (1) the first application of NVIDIA's NeMo Framework to commerce-specific agent optimization, (2) LLM powered fine-tuning strategy for retrieval-focused commerce tasks, (3) demonstration of significant improvements in latency and cost while maintaining agent quality, and (4) a scalable framework for multi-agent system optimization in production e-commerce environments. Our results demonstrate that the fine-tuned Nemotron SLM effectively resolves the key performance issue in the retrieval component, which represents over 50\% of total agent response time, while maintaining or enhancing overall system performance.",2025,http://arxiv.org/abs/2512.21578v3,ArXiv,0,,Carteiras_Digitais,Paypal,Coringa_Comparativo,"architecture, framework",1.5
FOUNDv2: Learning Unified User Quantized Tokenizers for User Representation,"User representation learning serves as a fundamental pillar for personalized services on large-scale web platforms. Despite its importance, conventional continuous embedding methods face significant challenges, including the lack of a unified paradigm for multi-source data integration, prohibitive storage overhead due to low information density, and the lack of multi-scale modeling granularity. To overcome these limitations, we introduce FOUNDv2, a comprehensive user representation scheme centered on the Unified User Quantized Tokenizer U2QT) framework. FOUNDv2 transforms heterogeneous user data into a standardized discrete token space through a robust two-stage architecture. Specifically, the framework first extracts compact feature representations and subsequently employs a multi-view RQ-VAE to discretize them into storage-efficient tokens using shared and source-specific codebooks. To empower these representations with predictive intelligence, we further design multi-scale alignment objectives to capture both fine-grained behavioral dependencies and macro-temporal periodicity. Extensive experiments on various benchmarks demonstrate that FOUNDv2 consistently outperforms task-specific baselines while achieving substantial reductions in storage and computational costs. Finally, the large-scale deployment of FOUNDv2 on Alipay validates its practical scalability and efficiency across diverse industrial scenarios. The main code is available at: https://github.com/chuanhe1999/FOUNDv2.",2025,http://arxiv.org/abs/2508.00956v3,ArXiv,0,,Carteiras_Digitais,Alipay,Coringa_Comparativo,"architecture, framework",1.5
Scaling Choice Models of Relational Social Data,"Many prediction problems on social networks, from recommendations to anomaly detection, can be approached by modeling network data as a sequence of relational events and then leveraging the resulting model for prediction. Conditional logit models of discrete choice are a natural approach to modeling relational events as ""choices"" in a framework that envelops and extends many long-studied models of network formation. The conditional logit model is simplistic, but it is particularly attractive because it allows for efficient consistent likelihood maximization via negative sampling, something that isn't true for mixed logit and many other richer models. The value of negative sampling is particularly pronounced because choice sets in relational data are often enormous.
  Given the importance of negative sampling, in this work we introduce a model simplification technique for mixed logit models that we call ""de-mixing"", whereby standard mixture models of network formation---particularly models that mix local and global link formation---are reformulated to operate their modes over disjoint choice sets. This reformulation reduces mixed logit models to conditional logit models, opening the door to negative sampling while also circumventing other standard challenges with maximizing mixture model likelihoods. To further improve scalability, we also study importance sampling for more efficiently selecting negative samples, finding that it can greatly speed up inference in both standard and de-mixed models. Together, these steps make it possible to much more realistically model network formation in very large graphs. We illustrate the relative gains of our improvements on synthetic datasets with known ground truth as well as a large-scale dataset of public transactions on the Venmo platform.",2020,http://arxiv.org/abs/2006.10003v1,ArXiv,0,,Carteiras_Digitais,Venmo,Coringa_Comparativo,framework,1.5
GraphTheta: A Distributed Graph Neural Network Learning System With Flexible Training Strategy,"Graph neural networks (GNNs) have been demonstrated as a powerful tool for analyzing non-Euclidean graph data. However, the lack of efficient distributed graph learning systems severely hinders applications of GNNs, especially when graphs are big and GNNs are relatively deep. Herein, we present GraphTheta, the first distributed and scalable graph learning system built upon vertex-centric distributed graph processing with neural network operators implemented as user-defined functions. This system supports multiple training strategies and enables efficient and scalable big-graph learning on distributed (virtual) machines with low memory. To facilitate graph convolutions, GraphTheta puts forward a new graph learning abstraction named NN-TGAR to bridge the gap between graph processing and graph deep learning. A distributed graph engine is proposed to conduct the stochastic gradient descent optimization with a hybrid-parallel execution, and a new cluster-batched training strategy is supported. We evaluate GraphTheta using several datasets with network sizes ranging from small-, modest- to large-scale. Experimental results show that GraphTheta can scale well to 1,024 workers for training an in-house developed GNN on an industry-scale Alipay dataset of 1.4 billion nodes and 4.1 billion attributed edges, with a cluster of CPU virtual machines (dockers) of small memory each (5$\sim$12GB). Moreover, GraphTheta can outperform DistDGL by up to $2.02\times$, with better scalability, and GraphLearn by up to $30.56\times$. As for model accuracy, GraphTheta is capable of learning as good GNNs as existing frameworks. To the best of our knowledge, this work presents the largest edge-attributed GNN learning task in the literature.",2021,http://arxiv.org/abs/2104.10569v3,ArXiv,0,,Carteiras_Digitais,Alipay,Coringa_Comparativo,framework,1.5
Agile Elicitation of Scalability Requirements for Open Systems: A Case Study,"Eliciting scalability requirements during agile software development is complicated and poorly described in previous research. This article presents a lightweight artifact for eliciting scalability requirements during agile software development: the ScrumScale model. The ScrumScale model is a simple spreadsheet. The scalability concepts underlying the ScrumScale model are clarified in this design science research, which also utilizes coordination theory. This paper describes the open banking case study, where a legacy banking system becomes open. This challenges the scalability of this legacy system. The first step in understanding this challenge is to elicit the new scalability requirements. In the open banking case study, key stakeholders from TietoEVRY spent 55 hours eliciting TietoEVRY's open banking project's scalability requirements. According to TietoEVRY, the ScrumScale model provided a systematic way of producing scalability requirements. For TietoEVRY, the scalability concepts behind the ScrumScale model also offered significant advantages in dialogues with other stakeholders.",2021,http://arxiv.org/abs/2108.00567v1,ArXiv,0,,Open_Banking_e_Conectividade,Open Banking,Desempenho_Operacional,scalability,1.5
Cloud Computing and API Integration in Banking: A Transformative Framework for Digital Innovation and Operational Excellence,"<jats:p>This article examines the transformative impact of cloud computing and API integration on the banking industry, focusing on their combined role in driving digital innovation and operational efficiency. The article investigates how financial institutions leverage cloud platforms to achieve scalability, cost optimization, and enhanced data management capabilities while utilizing APIs to create open banking ecosystems and enable embedded finance solutions. Through a mixed-method analysis combining case studies and qualitative assessments, this article demonstrates how the convergence of cloud technologies and APIs facilitates rapid service deployment, strengthens security frameworks, and enables advanced analytics capabilities in banking operations. The findings reveal significant opportunities for banks in areas such as multi-cloud adoption, blockchain integration, and IoT banking while highlighting critical regulatory compliance challenges and technical complexity. This article contributes to the growing body of literature on digital transformation in financial services by providing a comprehensive framework for understanding the strategic implications of cloud-API integration and offering insights for banking executives navigating technological innovation. The article concludes by identifying key success factors and proposing strategic recommendations for financial institutions pursuing cloud-API transformation initiatives.</jats:p>",0,https://doi.org/10.32628/cseit25111211,Crossref,0,10.32628/cseit25111211,Open_Banking_e_Conectividade,Open Banking,Governanca_e_Ciclo_de_Vida,,1.5
Open Banking API Framework to Improve the Online Transaction between Local Banks in Egypt Using Blockchain Technology,,0,https://doi.org/10.12720/jait.14.4.729-740,Crossref,10,10.12720/jait.14.4.729-740,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,framework,0.0
Trust Considerations in Open Banking,,2022,https://doi.org/10.1109/mitp.2021.3136015,Crossref,7,10.1109/mitp.2021.3136015,Open_Banking_e_Conectividade,Open Banking,Governanca_e_Ciclo_de_Vida,,0.0
Examining the adoption of Apple Pay among generation Z in Vietnam,"<jats:p>This study examines the level of knowledge, use, and determinants determining the adoption of Apple Pay among Generation Z customers in Vietnam. An online survey with 339 participants aged 18-26 was done using quantitative methods. The participants were recruited using social media platforms. The study model included elements from technological acceptance theories, such as effort expectation, perceived risk, perceived value, and convenience. The measurements were ensured to be reliable and genuine. The hypotheses were tested by analyzing the data using partial least squares structural equation modeling. The study’s results suggest that the data collected through PLS-SEM analysis provide evidence in support of the hypotheses proposing that factors such as Mobile User Skillfulness, Personal Innovation, Perceived Usefulness, Effort Expectation, Convenience, and Perceived Value have a positive influence on individuals’ Intentions to Use Apple Pay in Vietnam. Furthermore, the study revealed that the variables of Perceived Risk and Social Image did not have a statistically significant influence. The findings suggest that the pragmatic orientation of Generation Z towards the functionality and ease of use of Apple Pay has a significant impact on their adoption of this payment system in Vietnam. The study offers banks in Vietnam significant insights regarding the promotion of mobile wallet adoption among the younger demographic. Adoption may be increased by presenting Apple Pay as a practical and convenient application. AcknowledgmentThe author would like to thank everyone who filled out the survey. Without the help of everyone involved and the Ho Chi Minh University of Banking (Vietnam), this study would not have been possible.&amp;amp;nbsp;</jats:p>",2024,https://doi.org/10.21511/bbs.19(1).2024.04,Crossref,6,10.21511/bbs.19(1).2024.04,Carteiras_Digitais,Apple Pay,Coringa_Comparativo,survey,0.0
Role of UPI Application Usage and Mitigation of Payment Transaction Frauds: An Empirical Study,"<jats:p>The objective of this investigation is to analyze the intention behind user behavior toward employing Unified Payment Interface (UPI) apps and pinpointing successful solutions for mitigating frauds linked to them. This will increase safety measures, which would lead to an escalation in usage among consumers, ultimately resulting in higher financial inclusion across India through cashless transactions. The Indian digital payment system has been transformed by these platforms, including Google Pay, PhonePe, and Paytm, which together account for over 90% of all online payments made. Users are attracted primarily due to its convenience as well as ease-of-use factors along with influence from their peers who have turned into avid users themselves. Largely, due to COVID-19 lockdown disruptions many people shifted away from traditional monetary exchanges toward Internet Banking options leading to a surge-related crime involving transactional fraudulent practices costing up to 346%. The popularity itself throughout time due again mainly because it’s easy access capabilities UPI payment app development on fraudulent activities continued. A structured questionnaire was adopted during the collection phase within Chennai City among active UPI payment apps users whose data were analyzed using multivariate statistical techniques. The result proves that predictors such as perceived security, safety, risk consistent advantageous represents key inferences, supplying impetus towards utilizing technology and providing cautionary advice where deficiencies subsist. Info dissemination, emphasizing feature/benefit analysis targeting core customer groups, delivered periodically supplemented defensive protocols, incorporating trial process adaptations can mitigate further risk associated with application utilization. Reader response, demonstrating accommodative response based on familiarity, empowering generational social structure, and enabling transformation gained momentum, demonstrates structural readjustment and solidifies the benefits borne out by increased adaption ratified effective outcomes accruing overall benefits, favourably impacting a variety of demographic profiles, and guaranteeing continued use.</jats:p>",0,https://doi.org/10.1177/mjmrp.231222347,Crossref,5,10.1177/mjmrp.231222347,Pagamentos_Instantaneos_Varejo,UPI payment,Desempenho_Operacional,,0.0
Factors influencing the acceptance of proximity mobile payment in Germany: The example of Apple Pay,"<jats:p xml:lang=""en"">This study is one of the first to analyse the factors driving the adoption of proximity mobile payments in Germany, with a specific focus on Apple Pay. It employs a mixed-methods approach based on 14 qualitative interviews with specialists from the financial service sector and a quantitative online survey with 617 participants. The aim is to better understand the factors enhancing and inhibiting the growth of proximity mobile payment solutions, and to generate insights regarding the characteristics of early adopters of Apple Pay in Germany. The authors investigated a range of factors from existing technology acceptance research as well as additional aspects concerning brand perception and sociodemographic factors to identify significant differences between users and non-users of Apple Pay. The most pronounced differences concerned personal willingness to innovate, followed by perceived concerns regarding the risk associated with mobile payments, the perception of Apple as a secure provider, the perceived trustworthiness of technology providers in general, social influences, gender, and the user’s desire to be perceived as tech-savvy. Additionally, the perceived benefits of mobile payments, reasons for non-usage, as well as further potential valueadded services to enhance future user experience were analysed and appropriate recommendations derived.</jats:p>",0,https://doi.org/10.69554/rqcr3740,Crossref,5,10.69554/rqcr3740,Carteiras_Digitais,Apple Pay,Mensageria_Validacao_Ordenacao,,0.0
Security analysis of the open banking account and transaction API protocol,,2025,https://doi.org/10.1016/j.csa.2025.100097,Crossref,5,10.1016/j.csa.2025.100097,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,,0.0
Exploring the role of mobile payment adoption in China: An empirical analysis of Alipay and WeChat Pay,,2025,https://doi.org/10.1016/j.actpsy.2025.105345,Crossref,4,10.1016/j.actpsy.2025.105345,Carteiras_Digitais,Alipay,Coringa_Comparativo,,0.0
Choosing a Mobile Wallet: Motives and Attitudes of Saudi Consumers toward the Adoption of Apple Pay,"<jats:p>Purpose: The mobile payment system is widely used globally. However, this notion is not shared by all consumers in Saudi Arabia, and there is still prevailed prejudice or lack of trust among consumers towards using this unorthodox method of paying. Which raises the question of: What are the reasons that are hindering towards usage of mobile wallet method such as &amp;lsquo;Apple pay&amp;rsquo; in Saudi Consumers. This study aims to find motives and attitudes of the Saudi consumers toward the adoption of Apple pay.

Methodology: A correlation study design was adopted to answer the research question using a meta-UTAUT method. The study recruited 315 participants through social media to fulfil the questionnaire. Cronbach&amp;rsquo;s Alpha test was done to test the reliability of the test.

Findings: This study resulted that performance expectancy, effort expectancy, personal innovativeness, trust and anxiety factors influences the attitude of Saudi customers towards adapting Apple pay method (p value &amp;gt; 0.05). Whereas, attitude affects behavioral intentions. Furthermore, performance expectancy and grievance redressal affect user behavior (p value &amp;gt; 0.05). Alternatively, social influence and behavioral condition has no significant relationship with behavioral intentions (p value &amp;lt; 0.05). Similarly, performance expectation is also not influencing user behavior (p value &amp;lt; 0.05). In conclusion, these factors will help the marketers and the manufacturers to understand the user demands of Saudi customers and its attention will ultimately help the consumers.

Originality: This study will help understand the perception and attitude of Saudi consumers toward the adoption of Apple pay.</jats:p>",0,https://doi.org/10.5539/ibr.v15n8p10,Crossref,3,10.5539/ibr.v15n8p10,Carteiras_Digitais,Apple Pay,Arquitetura_Core_e_Ledger,,0.0
The development of open banking based on the implementation of open API technologies,"<jats:p>
 The implementation of open API into the work of financial organizations allowed optimizing the processes of obtaining and exchanging the internal and external data. Increasing the value of services rendered is possible due to a number of technological solutions, including open API technology. The relevance of covering the topic of open banking based on implementation of the technology of open programming interfaces is substantiated by the growing impact of using API in the process of rendering services by financial institutions. The object of research in this paper is It is an open API and its development in the Russian and foreign markets. The subject of this research is the methods of regulation, development and integration open programming interfaces in the financial markets. For comprehensive analysis of the articulated problem, the author reviews the classification of the open API, key trends in the development and application of open banking, foreign and domestic experience in its regulation and implementation. The scientific novelty of this article lies in systematization and generalization of data on the use of open interfaces in the era of digital economy on the level of financial (banking) institutions, as well as in description of the current trends in development and implementation of open API. The conclusion is drawn that banks are being actively introduced to open banking society, therefore increasing the transparency and availability of the practice-oriented data; as well as provide more information on the particular examples of implementation of open interfaces and full potential of their use. 
	</jats:p>",0,https://doi.org/10.7256/2454-0668.2021.4.36312,Crossref,3,10.7256/2454-0668.2021.4.36312,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,,0.0
Adoption Intention of UPI Payment Method Using Unified Theory,"<jats:p>Abstract: This research was conducted to gather data and understand the perception what the Indian population holds when it comes to using UPI payment method. To do so, a survey was designed using the UTAUT model and was circulated by the means of google forms. A wide range of parameters were considered to avail the maximum possible accuracy for the data collected. Parameters like, the ease of using this payment method, short term and long term benefits, monetary benefits, social benefits were considered. All of these parameters were supposed to be answered on a scale of 5. After collecting all the data, the results were analyzed and evaluated using which the hypothesis made were proved. Keywords: UPI, payment, transaction, UTAUT, performance expectancy, effort expectancy, perceived monetary benefits, perceived safety, social influence, adoption intension.</jats:p>",0,https://doi.org/10.22214/ijraset.2021.39544,Crossref,2,10.22214/ijraset.2021.39544,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,survey,0.0
"COMPARATIVE ANALYSIS OF DIGITAL PAYMENT PLATFORMS AND E-COMMERCE GIANTS: A FIVE-YEAR PERFORMANCE AND STRATEGIC DEVELOPMENT STUDY OF VISA, MASTERCARD, AMAZON, AND EBAY","<jats:p>This study conducts a comprehensive comparative analysis of Visa, Mastercard, Amazon, and eBay, focusing on their financial performance, strategic initiatives, and market expansion over a recent five-year period. The research utilizes annual reports and market data to examine the companies' operational efficiencies and strategic trajectories. The findings reveal Visa and Mastercard's robust financial health, characterized by high operating profit margins, signifying their dominance in the digital payments sector. Amazon's vast revenue yet lower profit margins suggest a deliberate reinvestment strategy for market growth, while eBay shows consistent stability in the e-commerce market. The interplay among these entities underscores a dynamic digital economy where strategic partnerships and competitive innovation are crucial. The study's insights are instrumental for stakeholders, providing a nuanced understanding of how these significant players shape and adapt to the digital marketplace, with broader implications for future research on the role of digital transformation in commerce and finance.</jats:p>",0,https://doi.org/10.62304/jieet.v3i01.76,Crossref,2,10.62304/jieet.v3i01.76,Redes_de_Cartoes,Mastercard,Coringa_Comparativo,comparative analysis,0.0
"Fintech Perceived Usefulness, Ease Of Use Among Consumers And Its Effect On Satisfaction And Continuous Usage: An Impractical Study On STC Pay And Apple Pay In Saudi Arabia’s Retail Sector","<jats:p>This paper study the effect of perceived ease of use and perceived usefulness on customers' satisfaction with FinTech and its impact on the continuous usage of FinTech among Saudi customers. A survey was conducted using an electronic and self-administered questionnaire. A total of 250 questionnaires were distributed among Saudi users of FinTech services. The valid questionnaires were 121; they were tested using SPSS and AMOS. This study examines the following factors: perceived ease of use and perceived usefulness as independent factors and included satisfaction as a mediator factor to study how it mediates the relationship between the independent factors and the dependent factor. The continuous usage of FinTech was the dependent factor. Results reveal that both perceived ease of use and perceived usefulness have a significant effect on customer satisfaction, and the three variables have a significant positive effect on the continuous usage of FinTech among Saudi customers. Conclusion, study limitations, and future studies were provided.</jats:p>",0,https://doi.org/10.24297/ijmit.v17i.9197,Crossref,2,10.24297/ijmit.v17i.9197,Carteiras_Digitais,Apple Pay,Coringa_Comparativo,survey,0.0
Legal Aspect of Personal Data Protection and Consumer Protection in the Open API Payment,"<jats:p>Digital financial innovation in Indonesia demands equal disclosure of data and information between banks and financial technology (fintech) companies through the Open API. Bank Indonesia as the authority in the payment system issued a series of regulations to regulate the standardization of Open API Payments to create data disclosure integrity, as well as improve personal data protection and consumer protection in open banking. This paper will review several legal aspects that have emerged, and it will be assessed whether the current provisions have addressed a number of these legal aspects. This paper uses a normative juridical approach with a descriptive analysis specification, which uses laws and regulations as the primary material. Based on research, currently existing regulations have succeeded in addressing the legal aspects of the Open API Payment. However, to strengthen consumer rights in the Open API Payments, it is still necessary to enact a Personal Data Protection Law (PDP Law) and amend the Consumer Law that is more in favor of the interests of consumers.  </jats:p>",0,https://doi.org/10.21098/jcli.v1i2.19,Crossref,2,10.21098/jcli.v1i2.19,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,,0.0
The SEPA Payment Account Access scheme is driving ‘open banking’ in the EU beyond the revised Payments Services Directive,"<jats:p xml:lang=""en"">This paper presents the SEPA Payment Account Access (SPAA) scheme, exploring its origins, associated benefits and challenges as well as the related regulatory context. The SPAA scheme covers the set of rules, practices and standards that allow for premium, value-added open banking services beyond the regulatory requirements. The revised Payment Services Directive (PSD2) describes the legal framework for open banking in Europe. It obliges account servicing payment service providers to provide — free of charge — dedicated interfaces to allow regulated third parties to access an account holder’s payment account with consent of the account holder. With this access, third parties are permitted to provide ‘basic’ open banking services regulated under PSD2. Not long after PSD2 was implemented, the Euro Retail Payments Board started exploring the possibilities for a potential SEPA application programming interface (API) access scheme for premium, valueadded services beyond PSD2. This resulted in several recommendations and a formal invitation to the European Payments Council (EPC), which subsequently developed the SPAA scheme. The SPAA scheme enables ‘premium’ payment services beyond the regulatory requirements of PSD2 and supports a wide variety of payments use cases, including online and in-store. It aims to drive open banking in the European Union (EU) in a way that unlocks and creates value while allowing for a fair distribution of value and risk between participants. SPAA is a pan-European scheme that underpins the EU’s objective of payments sovereignty, is supported by the relevant EU institutions and developed collaboratively in a multi-stakeholder setup by the retail payments industry. In addition to the SPAA scheme rulebook, a default asset remuneration model based on a cost calculation methodology has been developed to support the scheme. The SPAA scheme has the potential to further drive payments innovation and could be regarded as a stepping-stone towards open finance beyond payments as well as ‘open data’ beyond finance.</jats:p>",0,https://doi.org/10.69554/askg9092,Crossref,1,10.69554/askg9092,Liquidacao_Interbancaria,SEPA payment,Coringa_Comparativo,framework,0.0
Dominasi Aplikasi Pembayaran dalam Monopoli Persaingan Usaha: Studi Kasus Google Pay Billing,<jats:p>Penelitian ini berfokuskan pada mengkaji studi komparasi penanganan kasus monopoli oleh Google dengan posisi dominannya yang menguasai industri digital sehingga menjadi salah satu dari Big Tech yang memaksakan aplikasi pembayarannya yaitu Google Pay Billing terhadap seluruh aplikasi yang ada pada Google Play Store sehingga melanggar persaingan usaha yang sehat. Komparasi kasus dilakukan di India dan Amerika Serikat serta melakukan komparasi dengan Korea Selatan yang merespon upaya monopoli Google dengan merevisi Undang-Undang telekomunikasinya. Tujuan dari penelitian ini adalah memberikan komparasi dalam menangani monopoli melalui pemanfaatan posisi dominan oleh perusahaan Big Tech khususnya Google yang sekarang ini telah dilakukan inisiatif penyelidikan oleh Komisi Pengawas Persaingan Usaha (KPPU). Metode penelitian yang digunakan adalah yuridis normatif dengan pendekatan komparasi dan pendekatan kasus. Hasil dari penelitian ini adalah Big Tech memiliki karakteristik dominasi yang berbeda pada pasar lain dikarenakan perannya yang terlalu penting dalam inovasi dan pemenuhan kebutuhan digital masyarakat sehingga memerlukan pengaturan yang lebih eksplisit terhadap monopoli aplikasi pengunduh dan aplikasi pembayaran serta sanksi progresif.</jats:p>,0,https://doi.org/10.55869/kppu.v4i1.102,Crossref,1,10.55869/kppu.v4i1.102,Carteiras_Digitais,Google Pay,Arquitetura_Core_e_Ledger,,0.0
Enhancing Restaurant Payments with QR Code Integration for Appleand Google Pay,"<jats:p>QR codes, when incorporated with Apple Pay and Google Pay on the receipts of restaurants, transformed the food ordering business and increased the efficiency  of  the  payment  systems.  In  the  Go  programming  language,  restaurants  can  print  dynamic  QR  codes  on  receipts  through  ESC/POS  printer  commands for scan-and-pay transactions. This integration enhances the company's checkout process and makes transactions more secure via the Virtual Terminal Service (VTS) systems. The outcome was an effective change in customer behavior and a considerable trend toward the usage of mobile payments. This  article  will  discuss  how  the  system's  technical  work  has  been  done,  the  security  and  convenience  of  the  payment  system  for  end  users,  and  how  current and future applications, such as loyalty programs, can be served. Thus, implementing this technology is a success, which shows the critical role that contactless payments are taking in current restaurants and the role that the integration of QR codes plays in enhancing the customers' experience.</jats:p>",0,https://doi.org/10.47363/jaicc/2022(1)e166,Crossref,1,10.47363/jaicc/2022(1)e166,Carteiras_Digitais,"Google Pay, Apple Pay",Mensageria_Validacao_Ordenacao,,0.0
Impact of Mobile Banking Platforms Paytm and Google Pay on Financial Inclusion in Rural and Semi-Urban Areas in India,"<jats:p>This study aimed to investigate the impact of mobile banking platforms, specifically Paytm and Google Pay, on financial inclusion in rural and semi-urban areas in India. The study was motivated by the fact that there had been limited access to formal financial services in these regions, resulting in financial exclusion and diminished economic development. Utilizing a mixed-methods approach, the study combined surveys of 1,200 households, focus group discussions, and interviews with local financial institutions. Findings revealed significant improvement in financial inclusion. Approximately 72% of surveyed households indicated increased ease in carrying out financial transactions, including savings, remittances, and bill payments, using Paytm and Google Pay. Furthermore, local businesses reported a 35% increase in revenue, attributing it to simplified payment processes. Additionally, a 40% decrease in cash-based transactions was observed, which has implications for reducing fraud and increasing transparency. However, the study also identified challenges such as lack of internet connectivity and digital literacy, which acted as barriers to adoption for 28% of surveyed households. The study concluded that mobile banking platforms like Paytm and Google Pay have had a profound and largely positive impact on financial inclusion in rural and semi-urban areas in India. Despite existing barriers, the adoption of these platforms has facilitated easier and more secure financial transactions, contributing to increased economic activities in these areas. Recommendations include launching government-backed digital literacy programs and public-private partnerships for expanding internet infrastructure. Future studies should also consider evaluating the long-term sustainability of these platforms in fostering financial inclusion and exploring the possibility of integrating additional services like insurance and loans. Keywords: Financial Inclusion, Mobile Banking, Rural and Semi-Urban Areas, Paytm, Google Pay</jats:p>",0,https://doi.org/10.53819/81018102t4205,Crossref,1,10.53819/81018102t4205,Carteiras_Digitais,Google Pay,Mensageria_Validacao_Ordenacao,,0.0
Pengaruh Open Banking berbasis Open API terhadap Eksistensi Perbankan,"<jats:p>Open Banking is a system that provides financial institution network data to users through an API (application programming interface). Open API gives API providers the right or ability to provide consumer data access to API users with consumer consent. This study aims to determine the readiness of banks in Indonesia to implement Open Banking based on Open API. The method used is a qualitative phenomenological approach by collecting various data, analyzing, and describing the results of the analysis. The results of this study indicate that Indonesia can implement Open Banking based on the Open API by conducting an assessment of countries that have implemented it such as the UK, in order to encourage digital progress in the Banking industry so as to create connectivity between banks and Payment System Service Providers (PJSP) through open Banking.</jats:p>",0,https://doi.org/10.26714/mki.11.2.2021.75-84,Crossref,1,10.26714/mki.11.2.2021.75-84,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,,0.0
The API economy: Driving fintech innovation through open banking and embedded finance,"<jats:p>The financial services industry is undergoing a profound transformation, driven by the emergence of the API economy. Application Programming Interfaces (APIs) have become fundamental building blocks, enabling seamless integration between traditional financial institutions, innovative fintech startups, as well as businesses across diverse sectors. This article examines how APIs are reshaping the financial landscape through open banking frameworks and embedded finance solutions. It explores the technical foundations of financial APIs, including RESTful versus GraphQL architectures, security standards such as OAuth 2.0 and FAPI, and emerging event-driven approaches. The regulatory catalysts accelerating API adoption are analyzed across different regions, highlighting varied implementation approaches and their impacts. The article also investigates Banking-as-a-Service models, embedded finance categories, technical implementation challenges, and real-world case studies demonstrating successful API implementations. Finally, it evaluates future directions, including decentralization and blockchain technologies that may further democratize financial services through API-enabled innovations.</jats:p>",0,https://doi.org/10.30574/wjarr.2025.26.2.1915,Crossref,1,10.30574/wjarr.2025.26.2.1915,Open_Banking_e_Conectividade,Open Banking,Coringa_Comparativo,"architecture, framework",0.0
UPI Payment: Standerdizing Its Usage in Diverse States,,0,https://doi.org/10.64643/jatirv2i4-140178-001,Crossref,0,10.64643/jatirv2i4-140178-001,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,,0.0
A Study on Consumer Awareness and Protection Behaviour Towards UPI Payment Services in India,,0,https://doi.org/10.55248/gengpi.07.0526.c1140,Crossref,0,10.55248/gengpi.07.0526.c1140,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,,0.0
A Study on Usage of UPI Payment on Food Delivery Industry - A Case Study of Zomato,,0,https://doi.org/10.55248/gengpi.5.0424.1101,Crossref,0,10.55248/gengpi.5.0424.1101,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,,0.0
A Study On Utilization Of Upi Payment Services And Trends,,0,https://doi.org/10.53555/kuey.v30i6(s).5341,Crossref,0,10.53555/kuey.v30i6(s).5341,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,,0.0
Electric Vehicle Charging Station with UPI Payment Service,"<jats:p>Abstract:- This research paper presents the electric vehicles (EVs) gain popularity, the need for user-friendly and efficient charging infrastructure has become critical. Integrating Unified Payments Interface (UPI) with EV charging stations offers a seamless and secure payment option, making the charging process more accessible to a wider audience. UPI, a real-time payment system developed in India, allows users to transfer funds instantly between bank accounts using mobile applications, eliminating the need for cards or cash.

This abstract explores the deployment of UPI- based payment systems in EV charging stations. The use of UPI provides several advantages, such as widespread adoption, ease of use, and the elimination of additional hardware like card readers. With UPI, users can scan QR codes at charging stations or initiate payments via their mobile banking apps, allowing for quick and contactless transactions.

Key Words: EV Charger / EVSE, Smart Charging, App Control / Mobile App, UPI Payment / Digital Payment, QR Code Payment, Real-time Monitoring.</jats:p>",0,https://doi.org/10.55041/isjem04027,Crossref,0,10.55041/isjem04027,Pagamentos_Instantaneos_Varejo,UPI payment,Coringa_Comparativo,,0.0
